1498585990.97 {'correction_signal': 2.4947, 'message': 'ok', 'error_signal': -0.0072}
1498585996.79 {'correction_signal': 2.494, 'message': 'ok', 'error_signal': -0.004}
1498586002.6 {'correction_signal': 2.4916, 'message': 'ok', 'error_signal': -0.0021}
1498586008.41 {'correction_signal': 2.4909, 'message': 'ok', 'error_signal': 0.0055}
1498586014.22 {'correction_signal': 2.4924, 'message': 'ok', 'error_signal': 0.0095}
1498586020.02 {'correction_signal': 2.4913, 'message': 'ok', 'error_signal': 0.0067}
1498586025.83 {'correction_signal': 2.4903, 'message': 'ok', 'error_signal': -0.004}
1498586031.65 {'correction_signal': 2.488, 'message': 'ok', 'error_signal': 0.005}
1498586037.44 {'correction_signal': 2.4888, 'message': 'ok', 'error_signal': -0.0026}
1498586043.27 {'correction_signal': 2.4891, 'message': 'ok', 'error_signal': -0.0002}
1498586049.07 {'correction_signal': 2.4843, 'message': 'ok', 'error_signal': -0.0058}
1498586054.88 {'correction_signal': 2.4829, 'message': 'ok', 'error_signal': -0.0006}
1498586060.69 {'correction_signal': 2.481, 'message': 'ok', 'error_signal': -0.004}
1498586066.49 {'correction_signal': 2.4809, 'message': 'ok', 'error_signal': -0.0018}
1498586072.3 {'correction_signal': 2.4777, 'message': 'ok', 'error_signal': 0.0049}
1498586078.11 {'correction_signal': 2.476, 'message': 'ok', 'error_signal': 0.0046}
1498586083.91 {'correction_signal': 2.4769, 'message': 'ok', 'error_signal': 0.0024}
1498586089.72 {'correction_signal': 2.4777, 'message': 'ok', 'error_signal': 0.0053}
1498586095.53 {'correction_signal': 2.4733, 'message': 'ok', 'error_signal': -0.0009}
1498586101.34 {'correction_signal': 2.4715, 'message': 'ok', 'error_signal': 0.0031}
1498586107.14 {'correction_signal': 2.4753, 'message': 'ok', 'error_signal': 0.0073}
1498586112.95 {'correction_signal': 2.4783, 'message': 'ok', 'error_signal': 0.0073}
1498586118.76 {'correction_signal': 2.4767, 'message': 'ok', 'error_signal': 0.0055}
1498586124.56 {'correction_signal': 2.4757, 'message': 'ok', 'error_signal': -0.0006}
1498586130.37 {'correction_signal': 2.4736, 'message': 'ok', 'error_signal': 0.0049}
1498586136.18 {'correction_signal': 2.4701, 'message': 'ok', 'error_signal': 0.0096}
1498586141.97 {'correction_signal': 2.4703, 'message': 'ok', 'error_signal': 0.0055}
1498586147.78 {'correction_signal': 2.4703, 'message': 'ok', 'error_signal': 0.0046}
1498586153.57 {'correction_signal': 2.4685, 'message': 'ok', 'error_signal': 0.0018}
1498586159.37 {'correction_signal': 2.4677, 'message': 'ok', 'error_signal': 0.0023}
1498586165.16 {'correction_signal': 2.4694, 'message': 'ok', 'error_signal': -0.0061}
1498586170.97 {'correction_signal': 2.4699, 'message': 'ok', 'error_signal': 0.0008}
1498586176.76 {'correction_signal': 2.4692, 'message': 'ok', 'error_signal': -0.0047}
1498586182.57 {'correction_signal': 2.471, 'message': 'ok', 'error_signal': -0.0032}
1498586188.38 {'correction_signal': 2.4729, 'message': 'ok', 'error_signal': -0.0015}
1498586194.18 {'correction_signal': 2.473, 'message': 'ok', 'error_signal': -0.0085}
1498586199.97 {'correction_signal': 2.4729, 'message': 'ok', 'error_signal': 0.0008}
1498586205.78 {'correction_signal': 2.4735, 'message': 'ok', 'error_signal': -0.0046}
1498586211.59 {'correction_signal': 2.4739, 'message': 'ok', 'error_signal': 0.0041}
1498586217.39 {'correction_signal': 2.4755, 'message': 'ok', 'error_signal': 0.0052}
1498586223.2 {'correction_signal': 2.4794, 'message': 'ok', 'error_signal': 0.0049}
1498586229.01 {'correction_signal': 2.478, 'message': 'ok', 'error_signal': -0.0046}
1498586234.82 {'correction_signal': 2.4777, 'message': 'ok', 'error_signal': 0.0018}
1498586240.62 {'correction_signal': 2.4771, 'message': 'ok', 'error_signal': -0.0002}
1498586246.43 {'correction_signal': 2.4779, 'message': 'ok', 'error_signal': -0.0011}
1498586252.24 {'correction_signal': 2.4805, 'message': 'ok', 'error_signal': 0.0031}
1498586258.04 {'correction_signal': 2.4808, 'message': 'ok', 'error_signal': 0.0058}
1498586263.85 {'correction_signal': 2.4812, 'message': 'ok', 'error_signal': 0.0043}
1498586269.66 {'correction_signal': 2.4845, 'message': 'ok', 'error_signal': -0.0015}
1498586275.46 {'correction_signal': 2.4885, 'message': 'ok', 'error_signal': 0.0003}
1498586281.27 {'correction_signal': 2.4884, 'message': 'ok', 'error_signal': 0.0018}
1498586287.09 {'correction_signal': 2.4919, 'message': 'ok', 'error_signal': 0.0006}
1498586292.9 {'correction_signal': 2.4903, 'message': 'ok', 'error_signal': 0.0021}
1498586298.71 {'correction_signal': 2.4887, 'message': 'ok', 'error_signal': -0.0005}
1498586304.51 {'correction_signal': 2.4867, 'message': 'ok', 'error_signal': -0.0026}
1498586310.32 {'correction_signal': 2.4866, 'message': 'ok', 'error_signal': -0.0006}
1498586316.13 {'correction_signal': 2.4896, 'message': 'ok', 'error_signal': -0.0015}
1498586321.93 {'correction_signal': 2.4942, 'message': 'ok', 'error_signal': -0.0037}
1498586327.74 {'correction_signal': 2.4945, 'message': 'ok', 'error_signal': -0.0014}
1498586333.55 {'correction_signal': 2.4921, 'message': 'ok', 'error_signal': 0.0006}
1498586339.36 {'correction_signal': 2.4904, 'message': 'ok', 'error_signal': 0.0021}
1498586345.16 {'correction_signal': 2.4921, 'message': 'ok', 'error_signal': 0.0049}
