1498622827.64 {'correction_signal': 3.3618, 'message': 'ok', 'error_signal': -0.0104}
1498622833.46 {'correction_signal': 3.3674, 'message': 'ok', 'error_signal': 0.0018}
1498622839.3 {'correction_signal': 3.3674, 'message': 'ok', 'error_signal': 0.0002}
1498622845.12 {'correction_signal': 3.3666, 'message': 'ok', 'error_signal': 0.0043}
1498622850.96 {'correction_signal': 3.3671, 'message': 'ok', 'error_signal': 0.0043}
1498622856.78 {'correction_signal': 3.3636, 'message': 'ok', 'error_signal': -0.0024}
1498622862.61 {'correction_signal': 3.3671, 'message': 'ok', 'error_signal': 0.0009}
1498622868.44 {'correction_signal': 3.3693, 'message': 'ok', 'error_signal': -0.0029}
1498622874.27 {'correction_signal': 3.37, 'message': 'ok', 'error_signal': -0.0052}
1498622880.11 {'correction_signal': 3.3714, 'message': 'ok', 'error_signal': 0.0009}
1498622885.93 {'correction_signal': 3.3737, 'message': 'ok', 'error_signal': -0.0101}
1498622891.77 {'correction_signal': 3.3736, 'message': 'ok', 'error_signal': 0.0043}
1498622897.59 {'correction_signal': 3.3752, 'message': 'ok', 'error_signal': -0.0021}
1498622903.43 {'correction_signal': 3.3749, 'message': 'ok', 'error_signal': -0.0024}
1498622909.25 {'correction_signal': 3.374, 'message': 'ok', 'error_signal': -0.0003}
1498622915.08 {'correction_signal': 3.3752, 'message': 'ok', 'error_signal': -0.0005}
1498622920.91 {'correction_signal': 3.3755, 'message': 'ok', 'error_signal': 0.0012}
1498622926.74 {'correction_signal': 3.3752, 'message': 'ok', 'error_signal': 0.0032}
1498622932.58 {'correction_signal': 3.3766, 'message': 'ok', 'error_signal': 0.0003}
1498622938.4 {'correction_signal': 3.3785, 'message': 'ok', 'error_signal': 0.0009}
1498622944.22 {'correction_signal': 3.382, 'message': 'ok', 'error_signal': 0.0008}
1498622950.06 {'correction_signal': 3.3853, 'message': 'ok', 'error_signal': 0.004}
1498622955.88 {'correction_signal': 3.3871, 'message': 'ok', 'error_signal': -0.0015}
1498622961.72 {'correction_signal': 3.3838, 'message': 'ok', 'error_signal': -0.0053}
1498622967.55 {'correction_signal': 3.3852, 'message': 'ok', 'error_signal': -0.0031}
1498622973.38 {'correction_signal': 3.3873, 'message': 'ok', 'error_signal': -0.0015}
1498622979.21 {'correction_signal': 3.391, 'message': 'ok', 'error_signal': -0.0044}
1498622985.03 {'correction_signal': 3.3881, 'message': 'ok', 'error_signal': 0.0099}
1498622990.87 {'correction_signal': 3.3893, 'message': 'ok', 'error_signal': 0.0011}
1498622996.69 {'correction_signal': 3.3933, 'message': 'ok', 'error_signal': -0.0046}
1498623002.53 {'correction_signal': 3.3947, 'message': 'ok', 'error_signal': -0.0043}
